2, 101040, Note_on_c, 0, 87, 73
2, 101280, Note_off_c, 0, 87, 64
2, 101280, Note_on_c, 0, 85, 71
2, 101520, Note_off_c, 0, 85, 64
2, 101520, Note_on_c, 0, 84, 69
2, 101760, Note_off_c, 0, 84, 64
2, 101760, Note_on_c, 0, 85, 67
2, 102000, Note_off_c, 0, 85, 64
2, 102000, Note_on_c, 0, 84, 65
2, 102240, Note_off_c, 0, 84, 64
2, 102240, Note_on_c, 0, 82, 63
2, 102720, Note_off_c, 0, 82, 64
2, 103200, Note_on_c, 0, 84, 70
2, 104160, Note_off_c, 0, 84, 64
2, 104160, Note_on_c, 0, 82, 58
2, 104640, Note_off_c, 0, 82, 64
2, 104640, Note_on_c, 0, 84, 60
2, 105120, Note_off_c, 0, 84, 64
2, 105120, Note_on_c, 0, 82, 68
2, 105360, Note_off_c, 0, 82, 64
2, 105360, Note_on_c, 0, 84, 71
2, 105600, Note_off_c, 0, 84, 64
2, 105600, Note_on_c, 0, 85, 74
2, 105840, Note_off_c, 0, 85, 64
2, 105840, Note_on_c, 0, 84, 69
2, 106080, Note_off_c, 0, 84, 64
2, 106080, Note_on_c, 0, 82, 67
2, 106320, Note_off_c, 0, 82, 64
2, 106320, Note_on_c, 0, 80, 66
2, 106560, Note_off_c, 0, 80, 64
2, 106560, Note_on_c, 0, 82, 65
2, 106800, Note_off_c, 0, 82, 64
2, 106800, Note_on_c, 0, 80, 63
2, 107040, Note_off_c, 0, 80, 64
2, 107040, Note_on_c, 0, 79, 61
2, 108000, Note_off_c, 0, 79, 64
2, 108000, Note_on_c, 0, 77, 63
2, 108240, Note_off_c, 0, 77, 64
2, 108240, Note_on_c, 0, 79, 69
2, 108480, Note_off_c, 0, 79, 64
2, 108480, Note_on_c, 0, 80, 75
2, 108960, Note_off_c, 0, 80, 64
2, 108960, Note_on_c, 0, 79, 73
2, 109440, Note_off_c, 0, 79, 64
2, 109440, Note_on_c, 0, 77, 64
2, 111840, Note_off_c, 0, 77, 64
2, 111840, Note_on_c, 0, 75, 78
2, 112080, Note_off_c, 0, 75, 64
2, 112080, Note_on_c, 0, 73, 74
2, 112320, Note_off_c, 0, 73, 64
2, 112320, Note_on_c, 0, 72, 70
2, 114240, Note_off_c, 0, 72, 64
2, 114240, Note_on_c, 0, 73, 70
2, 115200, Note_off_c, 0, 73, 64
2, 115200, Note_on_c, 0, 72, 70
2, 116640, Note_off_c, 0, 72, 64
2, 116640, Note_on_c, 0, 71, 70
2, 116880, Note_off_c, 0, 71, 64
2, 116880, Note_on_c, 0, 72, 75
2, 117120, Note_off_c, 0, 72, 64
2, 117120, Note_on_c, 0, 74, 79
2, 117600, Note_off_c, 0, 74, 64
2, 117600, Note_on_c, 0, 72, 80
2, 117840, Note_off_c, 0, 72, 64
2, 117840, Note_on_c, 0, 74, 79
2, 118080, Note_off_c, 0, 74, 64
2, 118080, Note_on_c, 0, 76, 77
2, 119040, Note_off_c, 0, 76, 64
2, 119040, Note_on_c, 0, 60, 73
2, 119520, Note_off_c, 0, 60, 64
2, 119520, Note_on_c, 0, 62, 73
2, 120000, Note_off_c, 0, 62, 64
2, 120000, Note_on_c, 0, 64, 73
2, 121440, Note_off_c, 0, 64, 64
2, 121440, Note_on_c, 0, 65, 73
2, 121920, Note_off_c, 0, 65, 64
2, 121920, Note_on_c, 0, 64, 73
2, 122880, Note_off_c, 0, 64, 64
2, 122880, Note_on_c, 0, 65, 73
2, 123360, Note_off_c, 0, 65, 64
2, 123360, Note_on_c, 0, 67, 74
2, 124800, Note_off_c, 0, 67, 64
2, 124800, Note_on_c, 0, 65, 79
2, 125760, Note_off_c, 0, 65, 64
2, 125760, Note_on_c, 0, 64, 71
2, 126720, Note_off_c, 0, 64, 64
2, 126720, Note_on_c, 0, 60, 83
2, 127680, Note_off_c, 0, 60, 64
2, 127680, Note_on_c, 0, 59, 83
2, 128640, Note_off_c, 0, 59, 64
2, 128640, Note_on_c, 0, 64, 83
2, 131040, Note_off_c, 0, 64, 64
2, 131040, Note_on_c, 0, 62, 83
2, 132480, Note_off_c, 0, 62, 64
2, 132480, Note_on_c, 0, 64, 86
2, 132960, Note_off_c, 0, 64, 64
2, 132960, Note_on_c, 0, 69, 87
2, 133920, Note_off_c, 0, 69, 64
2, 133920, Note_on_c, 0, 67, 88
2, 134400, Note_off_c, 0, 67, 64
2, 134400, Note_on_c, 0, 66, 89
2, 135360, Note_off_c, 0, 66, 64
2, 135360, Note_on_c, 0, 64, 91
2, 136320, Note_off_c, 0, 64, 64
2, 136320, Note_on_c, 0, 66, 101
2, 137280, Note_off_c, 0, 66, 64
2, 137280, Note_on_c, 0, 60, 101
2, 138720, Note_off_c, 0, 60, 64
2, 138720, Note_on_c, 0, 62, 101
2, 139200, Note_off_c, 0, 62, 64
2, 139200, Note_on_c, 0, 63, 101
2, 140160, Note_off_c, 0, 63, 64
2, 140160, Note_on_c, 0, 62, 101
2, 141120, Note_off_c, 0, 62, 64
2, 141120, Note_on_c, 0, 63, 101
2, 144000, Note_off_c, 0, 63, 64
2, 144480, Note_on_c, 0, 67, 124
2, 145440, Note_off_c, 0, 67, 64
2, 145440, Note_on_c, 0, 65, 111
2, 145920, Note_off_c, 0, 65, 64
2, 145920, Note_on_c, 0, 67, 106
2, 146400, Note_off_c, 0, 67, 64
2, 146400, Note_on_c, 0, 65, 117
2, 146640, Note_off_c, 0, 65, 64
2, 146640, Note_on_c, 0, 67, 122
2, 146880, Note_off_c, 0, 67, 64
2, 146880, Note_on_c, 0, 68, 127
2, 147120, Note_off_c, 0, 68, 64
2, 147120, Note_on_c, 0, 67, 125
2, 147360, Note_off_c, 0, 67, 64
2, 147360, Note_on_c, 0, 65, 121
2, 147600, Note_off_c, 0, 65, 64
2, 147600, Note_on_c, 0, 63, 118
2, 147840, Note_off_c, 0, 63, 64
2, 147840, Note_on_c, 0, 65, 115
2, 148080, Note_off_c, 0, 65, 64
2, 148080, Note_on_c, 0, 63, 111
2, 148320, Note_off_c, 0, 63, 64
2, 148320, Note_on_c, 0, 65, 108
2, 148800, Note_off_c, 0, 65, 64
2, 149280, Note_on_c, 0, 65, 126
2, 150240, Note_off_c, 0, 65, 64
2, 150240, Note_on_c, 0, 63, 109
2, 150720, Note_off_c, 0, 63, 64
2, 150720, Note_on_c, 0, 65, 110
2, 151200, Note_off_c, 0, 65, 64
2, 151200, Note_on_c, 0, 63, 120
2, 151440, Note_off_c, 0, 63, 64
2, 151440, Note_on_c, 0, 65, 126
2, 151680, Note_off_c, 0, 65, 64
2, 151680, Note_on_c, 0, 67, 127
2, 151920, Note_off_c, 0, 67, 64
2, 151920, Note_on_c, 0, 65, 127
2, 152160, Note_off_c, 0, 65, 64
2, 152160, Note_on_c, 0, 63, 126
2, 152400, Note_off_c, 0, 63, 64
2, 152400, Note_on_c, 0, 62, 122
2, 152640, Note_off_c, 0, 62, 64
2, 152640, Note_on_c, 0, 63, 120
2, 152880, Note_off_c, 0, 63, 64
2, 152880, Note_on_c, 0, 62, 117
2, 153120, Note_off_c, 0, 62, 64
2, 153120, Note_on_c, 0, 60, 115
2, 153600, Note_off_c, 0, 60, 64
2, 153600, Note_on_c, 0, 61, 114
2, 154560, Note_off_c, 0, 61, 64
2, 154560, Note_on_c, 0, 59, 114
2, 155520, Note_off_c, 0, 59, 64
2, 155520, Note_on_c, 0, 61, 114
2, 156480, Note_off_c, 0, 61, 64
2, 156480, Note_on_c, 0, 59, 114
2, 157440, Note_off_c, 0, 59, 64
2, 157440, Note_on_c, 0, 61, 114
2, 158400, Note_off_c, 0, 61, 64
2, 158400, Note_on_c, 0, 62, 114
2, 159840, Note_off_c, 0, 62, 64
2, 159840, Note_on_c, 0, 60, 113
2, 161280, Note_off_c, 0, 60, 64
2, 161280, Note_on_c, 0, 58, 113
2, 162720, Note_off_c, 0, 58, 64
2, 162720, Note_on_c, 0, 57, 113
2, 163200, Note_off_c, 0, 57, 64
2, 163200, Note_on_c, 0, 56, 112
2, 164160, Note_off_c, 0, 56, 64
2, 164160, Note_on_c, 0, 55, 109
2, 166080, Note_off_c, 0, 55, 64
