X,Y,Z
71,63,43
71,63,43
71,65,43
71,65,43
71,65,48
71,65,48
71,64,48
71,64,48
71,62,48
71,62,48
71,62,60
71,62,60
71,64,58
71,64,58
71,64,57
71,64,57
71,64,55
71,64,55
71,70,55
71,70,55
71,69,53
71,69,53
71,67,53
71,67,53
71,65,57
71,65,57
71,67,52
71,67,52
71,69,53
71,69,53
71,70,53
71,70,53
72,67,55
72,67,55
72,64,55
72,64,55
72,67,55
72,67,55
72,64,55
72,64,55
72,60,55
72,60,55
72,60,45
72,60,45
72,65,57
72,65,57
72,65,53
72,65,53
72,69,50
72,69,50
77,69,46
77,69,46
76,69,50
76,69,50
74,69,46
74,69,46
76,69,43
76,69,43
76,69,43
76,69,43
76,69,48
76,69,48
76,69,48
76,69,48
77,67,41
77,67,41
77,67,41
77,67,41
77,67,55
77,67,55
77,67,53
77,67,53
77,69,52
77,69,52
81,69,52
81,69,52
79,69,50
79,69,50
79,69,52
79,69,52
