time_sixteenth_note,pitch
940,69.0
941,69.0
942,74.0
943,74.0
944,74.0
945,76.0
946,74.0
947,72.0
948,71.0
949,72.0
950,74.0
951,76.0
952,77.0
953,79.0
954,81.0
955,79.0
956,77.0
957,76.0
958,74.0
959,72.0
960,71.0
961,71.0
962,71.0
963,71.0
964,72.0
965,72.0
966,74.0
967,74.0
968,67.0
969,67.0
970,72.0
971,72.0
972,72.0
973,72.0
974,71.0
975,71.0
976,72.0
977,72.0
978,72.0
979,72.0
980,71.0
981,71.0
982,70.0
983,70.0
984,69.0
985,69.0
986,74.0
987,74.0
988,74.0
989,74.0
990,72.0
991,72.0
992,74.0
993,74.0
994,76.0
995,76.0
996,77.0
997,77.0
998,77.0
999,77.0
1000,77.0
1001,81.0
1002,79.0
1003,77.0
1004,76.0
1005,77.0
1006,76.0
1007,74.0
1008,72.0
1009,72.0
1010,72.0
1011,72.0
1012,72.0
1013,72.0
1014,72.0
1015,72.0
1016,72.0
1017,67.0
1018,71.0
1019,72.0
1020,74.0
1021,76.0
1022,77.0
1023,77.0
1024,72.0
1025,74.0
1026,77.0
1027,79.0
1028,81.0
1029,81.0
1030,81.0
1031,83.0
1032,84.0
1033,84.0
1034,84.0
1035,84.0
1036,84.0
1037,84.0
1038,84.0
1039,84.0
