2, 47520, Note_on_c, 0, 71, 62
2, 47760, Note_off_c, 0, 71, 64
2, 47760, Note_on_c, 0, 73, 63
2, 48000, Note_off_c, 0, 73, 64
2, 48000, Note_on_c, 0, 74, 58
2, 49920, Note_off_c, 0, 74, 64
2, 49920, Note_on_c, 0, 73, 58
2, 50880, Note_off_c, 0, 73, 64
2, 50880, Note_on_c, 0, 78, 58
2, 51840, Note_off_c, 0, 78, 64
2, 51840, Note_on_c, 0, 76, 58
2, 52320, Note_off_c, 0, 76, 64
2, 52320, Note_on_c, 0, 78, 58
2, 52800, Note_off_c, 0, 78, 64
2, 52800, Note_on_c, 0, 73, 58
2, 53760, Note_off_c, 0, 73, 64
2, 53760, Note_on_c, 0, 72, 58
2, 54240, Note_off_c, 0, 72, 64
2, 54240, Note_on_c, 0, 78, 58
2, 55680, Note_off_c, 0, 78, 64
2, 55680, Note_on_c, 0, 78, 58
2, 57120, Note_off_c, 0, 78, 64
2, 57120, Note_on_c, 0, 79, 71
2, 57600, Note_off_c, 0, 79, 64
2, 57600, Note_on_c, 0, 81, 72
2, 59520, Note_off_c, 0, 81, 64
2, 59520, Note_on_c, 0, 74, 75
2, 60960, Note_off_c, 0, 74, 64
2, 60960, Note_on_c, 0, 76, 67
2, 61440, Note_off_c, 0, 76, 64
2, 61440, Note_on_c, 0, 78, 67
2, 63840, Note_off_c, 0, 78, 64
2, 63840, Note_on_c, 0, 79, 65
2, 64320, Note_off_c, 0, 79, 64
2, 64320, Note_on_c, 0, 76, 65
2, 64800, Note_off_c, 0, 76, 64
2, 64800, Note_on_c, 0, 74, 65
2, 65280, Note_off_c, 0, 74, 64
2, 65280, Note_on_c, 0, 72, 64
2, 66240, Note_off_c, 0, 72, 64
2, 66240, Note_on_c, 0, 71, 64
2, 67200, Note_off_c, 0, 71, 64
2, 67200, Note_on_c, 0, 72, 63
2, 67680, Note_off_c, 0, 72, 64
2, 67680, Note_on_c, 0, 71, 62
2, 68640, Note_off_c, 0, 71, 64
2, 68640, Note_on_c, 0, 69, 62
2, 69120, Note_off_c, 0, 69, 64
2, 69120, Note_on_c, 0, 76, 72
2, 69600, Note_off_c, 0, 76, 64
2, 69600, Note_on_c, 0, 74, 60
2, 70080, Note_off_c, 0, 74, 64
2, 70080, Note_on_c, 0, 76, 74
2, 70560, Note_off_c, 0, 76, 64
2, 70560, Note_on_c, 0, 74, 60
2, 71040, Note_off_c, 0, 74, 64
2, 71040, Note_on_c, 0, 77, 72
2, 71520, Note_off_c, 0, 77, 64
2, 71520, Note_on_c, 0, 76, 68
2, 72480, Note_off_c, 0, 76, 64
2, 72480, Note_on_c, 0, 74, 68
2, 73440, Note_off_c, 0, 74, 64
2, 73440, Note_on_c, 0, 70, 69
2, 73680, Note_off_c, 0, 70, 64
2, 73680, Note_on_c, 0, 72, 66
2, 73920, Note_off_c, 0, 72, 64
2, 73920, Note_on_c, 0, 74, 63
2, 75360, Note_off_c, 0, 74, 64
2, 75360, Note_on_c, 0, 69, 76
2, 75600, Note_off_c, 0, 69, 64
2, 75600, Note_on_c, 0, 70, 72
2, 75840, Note_off_c, 0, 70, 64
2, 75840, Note_on_c, 0, 72, 67
2, 76800, Note_off_c, 0, 72, 64
2, 76800, Note_on_c, 0, 74, 65
2, 77280, Note_off_c, 0, 74, 64
2, 77280, Note_on_c, 0, 69, 63
2, 77520, Note_off_c, 0, 69, 64
2, 77520, Note_on_c, 0, 70, 62
2, 77760, Note_off_c, 0, 70, 64
2, 77760, Note_on_c, 0, 72, 61
2, 78240, Note_off_c, 0, 72, 64
2, 78240, Note_on_c, 0, 74, 59
2, 78720, Note_off_c, 0, 74, 64
2, 78720, Note_on_c, 0, 76, 57
