X,Y,Z
72,58,50
75,58,50
75,60,50
67,60,50
67,60,50
67,60,50
67,58,50
74,58,50
74,58,50
66,58,50
66,58,50
69,58,50
69,58,50
72,58,50
72,57,50
64,57,50
64,57,50
64,57,50
64,55,50
70,55,50
70,55,50
62,55,50
62,55,50
66,55,50
66,55,50
69,55,50
69,54,50
61,54,50
61,54,50
67,54,50
67,52,50
67,52,50
67,50,50
67,50,50
67,50,50
67,50,50
67,54,50
67,54,50
67,57,50
66,57,50
66,57,50
66,57,50
66,57,50
69,57,50
69,57,50
72,57,50
72,57,50
72,57,50
72,62,50
72,62,60
72,62,60
72,62,58
72,62,58
75,62,57
75,62,57
75,62,57
75,62,57
74,62,57
74,62,57
70,62,57
70,62,57
67,62,55
67,62,55
67,62,55
67,62,55
79,62,51
79,62,51
79,62,51
79,69,51
79,69,51
79,69,51
79,69,51
79,65,51
79,65,50
79,62,50
79,62,50
79,62,50
77,62,58
77,62,58
77,62,58
77,62,58
77,62,58
77,62,58
77,62,58
77,74,58
77,74,55
77,70,55
77,70,55
77,70,55
75,70,57
75,70,57
75,70,58
75,70,58
75,70,62
75,70,62
75,70,58
75,72,58
75,72,55
75,69,55
75,69,55
75,69,55
74,69,55
74,70,55
74,70,55
74,70,55
74,70,67
74,70,67
74,70,67
74,70,67
72,70,64
72,70,64
72,70,64
72,70,64
70,70,66
70,70,66
70,70,66
70,69,66
70,69,67
70,66,67
70,66,67
70,66,67
75,66,60
75,66,60
75,66,60
75,66,60
75,66,60
75,66,60
75,66,60
75,66,60
75,66,60
75,66,60
70,66,60
70,66,60
72,66,62
72,67,62
72,67,62
72,67,62
69,67,50
69,66,50
69,66,50
69,66,50
69,66,50
69,66,50
69,66,50
69,66,50
69,66,50
69,66,50
69,66,50
69,66,50
67,66,43
